horizon,mse,rmse,mae,mape,mdape,smape,coverage
109 days,4.1623157762585725,2.040175427814621,1.5556944578654455,0.00536459632536544,0.004170145926739401,0.005368347487462218,0.8837920489296636
110 days,3.741906960770127,1.9344009307199288,1.4781829075180934,0.005097373963767869,0.004002924806265664,0.005101927403169274,0.9021406727828746
111 days,3.5352498392891873,1.8802260075026054,1.4366471824317208,0.004954303884299021,0.003899510280507954,0.00495928025570021,0.9143730886850153
112 days,3.6158354115031384,1.9015350145351355,1.4490576079185677,0.00499998831862582,0.004002924806265664,0.005003722184511811,0.9143730886850153
113 days,3.725205859582314,1.9300792366072212,1.4799391402354491,0.005108395810268552,0.004170145926739401,0.005111693114607665,0.908256880733945
114 days,3.7298007578904344,1.9312692090670411,1.485927949529741,0.0051281599539349625,0.004170145926739401,0.005131858384995916,0.908256880733945
115 days,3.6720790870148425,1.9162669665301968,1.470411823150416,0.005071826213931487,0.004170145926739401,0.005076732627190341,0.9143730886850153
116 days,3.639847648806521,1.9078384755546054,1.461016112284832,0.005036544119949161,0.004091760948749859,0.005042475875894936,0.9174311926605505
117 days,3.6128174214913003,1.9007412821031957,1.4539149957466382,0.005009767107899663,0.004002924806265664,0.00501604581156077,0.9174311926605505
118 days,3.6637071444946088,1.9140812794901394,1.4646030514595791,0.005045647081097856,0.004002924806265664,0.005051441400121448,0.908256880733945
119 days,3.6261481349740072,1.9042447676110357,1.4454080858563296,0.004979474971569185,0.003899510280507954,0.0049848815652641385,0.908256880733945
120 days,3.611548080373989,1.900407345906132,1.441192414848025,0.004964855616071155,0.003856087113624604,0.0049700123446265775,0.908256880733945
121 days,3.8431324662640494,1.9603908962918721,1.5036400721005148,0.0051786156044383615,0.004091760948749859,0.005183990012181506,0.8990825688073395
122 days,3.838323516202226,1.9591639839998656,1.5107039178282946,0.005202147750190665,0.00412564991972893,0.0052073053626149925,0.8990825688073395
123 days,3.5517856851318172,1.8846181801977337,1.4744336738910708,0.005078437379199599,0.00412564991972893,0.005081830945538654,0.9051987767584099
124 days,3.32152747684066,1.8225058235409455,1.4499067073499452,0.0049954316716933405,0.004188901950952536,0.004997075603714473,0.9143730886850153
125 days,3.4370912418152186,1.8539393846119183,1.4806056636581004,0.005101870055599267,0.004221199753841453,0.005102486437805766,0.908256880733945
126 days,3.9048297466029034,1.9760642060932392,1.5657499739792493,0.005396154810425116,0.004527200070008006,0.005395492579848041,0.8899082568807339
127 days,4.168829909254996,2.0417712676142243,1.6179439517806573,0.005575452088028187,0.004987411736515977,0.005574539374309447,0.8715596330275229
128 days,4.596393294491554,2.1439200765167423,1.6919547948830942,0.005829359954078743,0.004987411736515977,0.005828383208395451,0.8532110091743119
129 days,5.011781684845294,2.23870089222417,1.761451431966944,0.006069070509751732,0.004987411736515977,0.006067318846711988,0.8348623853211009
