ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-21,288.6909310618988,279.0047787477037,284.81631018930267,288.6909310618988,288.6909310618988,-6.875307452083615,-6.875307452083615,-6.875307452083615,-0.14714591089239037,-0.14714591089239037,-0.14714591089239037,-6.728161541191226,-6.728161541191226,-6.728161541191226,0.0,0.0,0.0,281.8156236098152
2015-01-22,288.7124851000289,278.9941258702197,284.9745891657404,288.7124851000289,288.7124851000289,-6.75229641287805,-6.75229641287805,-6.75229641287805,-0.03977502371578849,-0.03977502371578849,-0.03977502371578849,-6.712521389162262,-6.712521389162262,-6.712521389162262,0.0,0.0,0.0,281.9601886871509
2015-01-23,288.734039138159,279.29419694671566,285.06249142357024,288.734039138159,288.734039138159,-6.634809935034846,-6.634809935034846,-6.634809935034846,0.07190578096091578,0.07190578096091578,0.07190578096091578,-6.706715715995762,-6.706715715995762,-6.706715715995762,0.0,0.0,0.0,282.09922920312414
2015-01-24,288.7555931762891,279.19527102473376,284.9855043256312,288.7555931762891,288.7555931762891,-6.620101332726639,-6.620101332726639,-6.620101332726639,0.09040240619858678,0.09040240619858678,0.09040240619858678,-6.710503738925226,-6.710503738925226,-6.710503738925226,0.0,0.0,0.0,282.1354918435625
2015-01-25,288.77714721441924,279.1671145476258,284.8161885764001,288.77714721441924,288.77714721441924,-6.5967476172614115,-6.5967476172614115,-6.5967476172614115,0.12661403692303155,0.12661403692303155,0.12661403692303155,-6.723361654184444,-6.723361654184444,-6.723361654184444,0.0,0.0,0.0,282.1803995971578
2015-01-26,288.79870125254934,279.3463319535396,285.0290113320624,288.79870125254934,288.79870125254934,-6.715304034847522,-6.715304034847522,-6.715304034847522,0.02918973817403262,0.02918973817403262,0.02918973817403262,-6.7444937730215555,-6.7444937730215555,-6.7444937730215555,0.0,0.0,0.0,282.0833972177018
2015-01-27,288.8202552906794,279.08444937341113,284.65403093028965,288.8202552906794,288.8202552906794,-6.904042295622555,-6.904042295622555,-6.904042295622555,-0.13119102764878912,-0.13119102764878912,-0.13119102764878912,-6.772851267973766,-6.772851267973766,-6.772851267973766,0.0,0.0,0.0,281.91621299505687
2015-01-28,288.8418093288096,278.99946078601954,284.75537784662987,288.8418093288096,288.8418093288096,-6.9543039884160525,-6.9543039884160525,-6.9543039884160525,-0.1471459108925347,-0.1471459108925347,-0.1471459108925347,-6.8071580775235185,-6.8071580775235185,-6.8071580775235185,0.0,0.0,0.0,281.88750534039355
2015-01-29,288.86336336693967,279.213830099717,284.9209270311262,288.86336336693967,288.86336336693967,-6.885718334283376,-6.885718334283376,-6.885718334283376,-0.03977502371566492,-0.03977502371566492,-0.03977502371566492,-6.845943310567711,-6.845943310567711,-6.845943310567711,0.0,0.0,0.0,281.9776450326563
2015-01-30,288.88491740506976,279.1953611514545,284.9871225298123,288.88491740506976,288.88491740506976,-6.815673521773039,-6.815673521773039,-6.815673521773039,0.07190578096095479,0.07190578096095479,0.07190578096095479,-6.887579302733993,-6.887579302733993,-6.887579302733993,0.0,0.0,0.0,282.06924388329674
2015-01-31,288.90647144319985,279.0922988418041,284.82394811749367,288.90647144319985,288.90647144319985,-6.839921903819083,-6.839921903819083,-6.839921903819083,0.0904024061985895,0.0904024061985895,0.0904024061985895,-6.930324310017672,-6.930324310017672,-6.930324310017672,0.0,0.0,0.0,282.0665495393808
2015-02-01,288.92802548133,279.04647001050125,284.999901556882,288.92802548133,288.92802548133,-6.84575464950471,-6.84575464950471,-6.84575464950471,0.12661403692309817,0.12661403692309817,0.12661403692309817,-6.972368686427808,-6.972368686427808,-6.972368686427808,0.0,0.0,0.0,282.08227083182527
2015-02-02,288.9495795194601,279.16271135622725,284.97569925278555,288.9495795194601,288.9495795194601,-6.982693547279444,-6.982693547279444,-6.982693547279444,0.029189738174248952,0.029189738174248952,0.029189738174248952,-7.011883285453694,-7.011883285453694,-7.011883285453694,0.0,0.0,0.0,281.96688597218065
2015-02-03,288.9711335575902,278.93177089566353,284.5788561057601,288.9711335575902,288.9711335575902,-7.178259781119604,-7.178259781119604,-7.178259781119604,-0.13119102764857363,-0.13119102764857363,-0.13119102764857363,-7.04706875347103,-7.04706875347103,-7.04706875347103,0.0,0.0,0.0,281.79287377647057
2015-02-04,288.99268759572027,278.8351568441507,284.64213294887014,288.99268759572027,288.99268759572027,-7.223350259830925,-7.223350259830925,-7.223350259830925,-0.1471459108924653,-0.1471459108924653,-0.1471459108924653,-7.076204348938459,-7.076204348938459,-7.076204348938459,0.0,0.0,0.0,281.76933733588936
2015-02-05,289.0142416338504,279.2624897904898,284.80941335221473,289.0142416338504,289.0142416338504,-7.137469949312017,-7.137469949312017,-7.137469949312017,-0.03977502371557621,-0.03977502371557621,-0.03977502371557621,-7.097694925596441,-7.097694925596441,-7.097694925596441,0.0,0.0,0.0,281.8767716845384
2015-02-06,289.0357956719805,279.2208861940179,284.9064005032981,289.0357956719805,289.0357956719805,-7.038208979989865,-7.038208979989865,-7.038208979989865,0.0719057809609938,0.0719057809609938,0.0719057809609938,-7.110114760950859,-7.110114760950859,-7.110114760950859,0.0,0.0,0.0,281.99758669199065
2015-02-07,289.0573497101106,279.1081706199596,284.9143861655171,289.0573497101106,289.0573497101106,-7.021844585891578,-7.021844585891578,-7.021844585891578,0.09040240619865302,0.09040240619865302,0.09040240619865302,-7.11224699209023,-7.11224699209023,-7.11224699209023,0.0,0.0,0.0,282.035505124219
2015-02-08,289.0789037482407,279.2600031320737,284.9308123096994,289.0789037482407,289.0789037482407,-6.976503500294972,-6.976503500294972,-6.976503500294972,0.1266140369230503,0.1266140369230503,0.1266140369230503,-7.103117537218022,-7.103117537218022,-7.103117537218022,0.0,0.0,0.0,282.1024002479457
2015-02-09,289.10045778637084,279.3490937936707,284.903818588659,289.10045778637084,289.10045778637084,-7.052832791874839,-7.052832791874839,-7.052832791874839,0.02918973817407882,0.02918973817407882,0.02918973817407882,-7.082022530048918,-7.082022530048918,-7.082022530048918,0.0,0.0,0.0,282.047624994496
2015-02-10,289.1220118245009,278.9019660318637,284.93533276194125,289.1220118245009,289.1220118245009,-7.179739498975999,-7.179739498975999,-7.179739498975999,-0.13119102764868076,-0.13119102764868076,-0.13119102764868076,-7.048548471327317,-7.048548471327317,-7.048548471327317,0.0,0.0,0.0,281.94227232552487
2015-02-11,289.143565862631,279.04378515656236,284.8727013113297,289.143565862631,289.143565862631,-7.149730413141366,-7.149730413141366,-7.149730413141366,-0.14714591089245618,-0.14714591089245618,-0.14714591089245618,-7.00258450224891,-7.00258450224891,-7.00258450224891,0.0,0.0,0.0,281.99383544948967
